model,NDCG,RecipRank
BiasScorer,0.08412891562896714,0.20136020262629234
BiasedMFScorer,0.06559369279980447,0.144210540507516
BiasedSVDScorer,0.1008409678138869,0.2903303214745737
FunkSVDScorer,0.03190981281003577,0.05870504504150689
ImplicitMFScorer,0.3058678274140041,0.4008075301440913
ItemKNNScorer,0.002735798598809422,0.004316603799669843
UserKNNScorer,0.0007516649486001455,0.003063111629174109
