model,NDCG,RecipRank
BiasScorer,0.12353453018077934,0.18218045358789037
BiasedMFScorer,0.1262362154367774,0.2049049597513786
BiasedSVDScorer,0.14363800862556772,0.2637147586481222
FunkSVDScorer,0.07994240065741462,0.10565401065817275
ImplicitMFScorer,0.409886046476628,0.4296144799865979
ItemKNNScorer,0.09300125198176612,0.1059165346840442
UserKNNScorer,0.05931102691068173,0.029795142220453135
