model,NDCG,RecipRank
BiasScorer,0.12258586157514852,0.1762100674667748
BiasedMFScorer,0.12459556604821213,0.20579259181201848
BiasedSVDScorer,0.14515691048923954,0.26330251151119144
FunkSVDScorer,0.07960534436952295,0.10579681332886538
ImplicitMFScorer,0.40963923725516327,0.44977120940535303
ItemKNNScorer,0.09169172344705966,0.09929680665956031
UserKNNScorer,0.05899726486234929,0.02828240247852156
